chr,strand,coordinate
Chr1,-,322569
Chr1,-,603638
Chr1,-,1363481
Chr1,+,1658483
Chr1,+,1658601
Chr1,-,1776023
Chr1,+,2073587
Chr1,+,2073751
Chr1,-,2388418
Chr1,-,2388560
Chr1,-,2477764
Chr1,-,2477836
Chr1,+,2569588
Chr1,+,2569741
Chr1,+,3066087
Chr1,+,3123955
Chr1,+,3124316
Chr1,+,3258890
Chr1,+,3258986
Chr1,-,3297649
Chr1,-,3297702
Chr1,-,3303292
Chr1,-,3314792
Chr1,-,3320219
Chr1,+,4094518
Chr1,-,4110251
Chr1,-,4231861
Chr1,-,4338037
Chr1,+,4568534
Chr1,+,4568598
Chr1,+,4568709
Chr1,-,4984576
Chr1,-,5540417
Chr1,-,5540675
Chr1,-,5814884
Chr1,-,5814991
Chr1,+,5919280
Chr1,-,6094575
Chr1,+,6367174
Chr1,-,6912730
Chr1,+,7134550
Chr1,-,7185275
Chr1,-,7186108
Chr1,+,7209113
Chr1,-,7450551
Chr1,-,7450615
Chr1,-,7451090
Chr1,+,7589530
Chr1,+,7589687
Chr1,+,7871545
Chr1,+,7877791
Chr1,-,8396723
Chr1,-,8978904
Chr1,-,9179332
Chr1,+,9264013
Chr1,+,9350892
Chr1,+,9351124
Chr1,+,9527276
Chr1,+,9692095
Chr1,+,10007750
Chr1,-,10432156
Chr1,-,10664767
Chr1,-,10720226
Chr1,+,10881766
Chr1,+,10881901
Chr1,+,10935989
Chr1,+,11170325
Chr1,-,11366620
Chr1,+,11714676
Chr1,-,11715284
Chr1,+,11775299
Chr1,-,11793871
Chr1,+,12075178
Chr1,+,12075276
Chr1,-,12205228
Chr1,-,12332709
Chr1,-,12332871
Chr1,-,12677050
Chr1,-,12745538
Chr1,+,12753361
Chr1,-,13107246
Chr1,-,13170604
Chr1,-,13170724
Chr1,-,13389573
Chr1,+,13443430
Chr1,+,13443712
Chr1,+,13541909
Chr1,-,13837920
Chr1,+,13843750
Chr1,-,13899531
Chr1,+,14076906
Chr1,+,14076966
Chr1,+,14086604
Chr1,-,14393637
Chr1,-,14437889
Chr1,-,14439584
Chr1,-,14742689
Chr1,-,15152304
Chr1,+,15161522
Chr1,+,15294413
Chr1,+,15345427
Chr1,-,15346474
Chr1,+,15953011
Chr1,+,16378538
Chr1,+,16416005
Chr1,-,17622758
Chr1,-,18438404
Chr1,-,18589407
Chr1,+,18641932
Chr1,+,18982021
Chr1,-,19181120
Chr1,-,19181406
Chr1,-,19295591
Chr1,+,20871196
Chr1,-,21071159
Chr1,+,21722085
Chr1,+,22326274
Chr1,-,22474831
Chr1,+,22539791
Chr1,+,22539887
Chr1,+,22542152
Chr1,+,22640062
Chr1,-,22641055
Chr1,+,22650584
Chr1,+,22757176
Chr1,-,22808577
Chr1,+,22908004
Chr1,-,23311181
Chr1,+,23325248
Chr1,+,24020184
Chr1,+,24257964
Chr1,-,24343532
Chr1,+,24393355
Chr1,-,24616521
Chr1,+,24809882
Chr1,-,24899425
Chr1,+,24933824
Chr1,+,25115957
Chr1,-,25157172
Chr1,-,25546742
Chr1,-,25918558
Chr1,-,25921400
Chr1,+,25958506
Chr1,+,26225182
Chr1,+,26724606
Chr1,+,26764166
Chr1,+,26767262
Chr1,-,26912214
Chr1,-,26912308
Chr1,-,27309331
Chr1,+,27313455
Chr1,+,27745142
Chr1,+,27842389
Chr1,+,27842582
Chr1,+,28165870
Chr1,-,28193620
Chr1,-,28450288
Chr1,+,28534521
Chr1,-,28910218
Chr1,-,28910264
Chr1,+,28984099
Chr1,-,29326678
Chr1,-,29327721
Chr1,-,29475378
Chr1,+,30032055
Chr1,+,30118807
Chr1,-,30551501
Chr1,+,30755574
Chr1,-,31286530
Chr1,-,31315406
Chr1,+,31521925
Chr1,+,31630718
Chr1,+,31764030
Chr1,-,31840399
Chr1,-,31840428
Chr1,-,31938487
Chr1,+,32166095
Chr1,+,32225263
Chr1,-,32230692
Chr1,+,32527038
Chr1,-,32556490
Chr1,-,32611466
Chr1,+,32715925
Chr1,+,32716731
Chr1,-,32838759
Chr1,-,33186207
Chr1,-,33186282
Chr1,-,33186360
Chr1,-,33190486
Chr1,-,33192465
Chr1,+,33496676
Chr1,+,33496876
Chr1,+,34259776
Chr1,+,34327760
Chr1,+,34328118
Chr1,+,34328298
Chr1,-,34428333
Chr1,-,34428484
Chr1,-,34445698
Chr1,-,34445749
Chr1,-,34588829
Chr1,+,34628285
Chr1,+,34628602
Chr1,-,34640068
Chr1,+,34985619
Chr1,+,35003439
Chr1,+,35422059
Chr1,+,35852062
Chr1,-,35935194
Chr1,+,36365264
Chr1,-,36467918
Chr1,+,36896930
Chr1,+,37178333
Chr1,+,37178383
Chr1,-,37631356
Chr1,+,37654382
Chr1,-,38144792
Chr1,-,38144880
Chr1,-,38191743
Chr1,-,38191834
Chr1,-,38238478
Chr1,+,38483989
Chr1,+,38821874
Chr1,-,38852796
Chr1,+,38917926
Chr1,+,38926439
Chr1,-,39216944
Chr1,-,39438171
Chr1,-,39780570
Chr1,-,40238792
Chr1,-,40553883
Chr1,+,40585456
Chr1,-,40797940
Chr1,+,40900289
Chr1,-,41112147
Chr1,-,41133501
Chr1,-,41311681
Chr1,-,41570703
Chr1,-,41572546
Chr1,+,41845306
Chr1,+,41915925
Chr1,-,42059103
Chr1,+,42213385
Chr1,+,42213686
Chr1,+,42407343
Chr1,+,42419026
Chr1,+,42566624
Chr1,+,42707922
Chr1,+,42728276
Chr1,+,42728382
Chr1,-,42775253
Chr1,-,43136348
