chr,strand,coordinate,region,region_start,region_end,gene
Chr1,+,8793,intron,8609,9209,LOC_Os01g01010
Chr1,+,10817,3UTR,10563,11210,LOC_Os01g01010
Chr1,+,12429,3UTR,12318,12735,LOC_Os01g01019
Chr1,+,15818,3UTR,15360,16215,LOC_Os01g01030
Chr1,+,19709,intron,19630,19733,LOC_Os01g01040
Chr1,+,19858,3UTR,19734,20623,LOC_Os01g01040
Chr1,+,20319,3UTR,19734,20623,LOC_Os01g01040
Chr1,+,26895,3UTR,26392,27271,LOC_Os01g01050
Chr1,+,28603,3UTR,28420,28951,LOC_Os01g01060
Chr1,+,34312,3UTR,34125,34793,LOC_Os01g01070
Chr1,+,34495,3UTR,34125,34793,LOC_Os01g01070
Chr1,+,40461,CDS,40456,40602,LOC_Os01g01080
Chr1,+,41173,3UTR,41008,41480,LOC_Os01g01080
Chr1,+,63518,3UTR,63346,63876,LOC_Os01g01120
Chr1,-,63439,3UTR,62944,63669,LOC_Os01g01130
Chr1,+,77040,3UTR,77009,77203,LOC_Os01g01150
Chr1,+,77259,intron,77204,77324,LOC_Os01g01150
Chr1,+,77549,3UTR,77325,78191,LOC_Os01g01150
Chr1,+,77944,3UTR,77325,78191,LOC_Os01g01150
Chr1,+,78350,intron,78192,79462,LOC_Os01g01150
Chr1,+,78646,intron,78192,79462,LOC_Os01g01150
Chr1,+,78717,intron,78192,79462,LOC_Os01g01150
Chr1,+,78914,intron,78192,79462,LOC_Os01g01150
Chr1,+,79018,intron,78192,79462,LOC_Os01g01150
Chr1,+,79103,intron,78192,79462,LOC_Os01g01150
Chr1,+,79765,3UTR,79463,80238,LOC_Os01g01150
Chr1,+,79917,3UTR,79463,80238,LOC_Os01g01150
Chr1,+,83954,3UTR,83865,84602,LOC_Os01g01160
Chr1,+,84182,3UTR,83865,84602,LOC_Os01g01160
Chr1,+,88846,3UTR,88584,89144,LOC_Os01g01170
Chr1,-,89576,3UTR,89353,89824,LOC_Os01g01190
Chr1,+,135443,3UTR,135254,135985,LOC_Os01g01280
Chr1,+,135569,3UTR,135254,135985,LOC_Os01g01280
Chr1,+,140105,intron,139907,140119,LOC_Os01g01290
Chr1,+,141546,3UTR,141416,141888,LOC_Os01g01290
Chr1,+,144316,3UTR,143909,144854,LOC_Os01g01295
Chr1,+,144432,3UTR,143909,144854,LOC_Os01g01295
Chr1,+,147831,3UTR,147576,148152,LOC_Os01g01302
Chr1,+,150502,3UTR,150319,150877,LOC_Os01g01307
Chr1,+,156329,3UTR,156215,156800,LOC_Os01g01312
Chr1,+,156446,3UTR,156215,156800,LOC_Os01g01312
Chr1,-,168474,3UTR,168170,169598,LOC_Os01g01340
Chr1,-,168935,3UTR,168170,169598,LOC_Os01g01340
Chr1,-,169007,3UTR,168170,169598,LOC_Os01g01340
Chr1,-,169412,3UTR,168170,169598,LOC_Os01g01340
Chr1,-,170744,3UTR,170412,171044,LOC_Os01g01350
Chr1,-,170923,3UTR,170412,171044,LOC_Os01g01350
Chr1,+,180549,3UTR,180463,181112,LOC_Os01g01360
Chr1,+,180682,3UTR,180463,181112,LOC_Os01g01360
Chr1,-,186249,3UTR,185946,186515,LOC_Os01g01369
Chr1,+,196409,3UTR,195430,196587,LOC_Os01g01380
Chr1,+,200773,3UTR,200480,201103,LOC_Os01g01390
Chr1,-,206149,3UTR,205410,206449,LOC_Os01g01410
Chr1,+,214174,3UTR,213789,214488,LOC_Os01g01420
Chr1,+,229146,3UTR,228932,229631,LOC_Os01g01450
Chr1,+,243439,3UTR,242978,243768,LOC_Os01g01470
Chr1,-,248593,3UTR,248406,248970,LOC_Os01g01484
Chr1,-,248706,3UTR,248406,248970,LOC_Os01g01484
Chr1,-,248827,3UTR,248406,248970,LOC_Os01g01484
Chr1,+,265558,CDS,265506,265649,LOC_Os01g01510
Chr1,+,268272,3UTR,267880,268771,LOC_Os01g01510
Chr1,+,268437,3UTR,267880,268771,LOC_Os01g01510
Chr1,-,270182,3UTR,269845,270355,LOC_Os01g01520
Chr1,-,274088,intron,271334,274528,LOC_Os01g01520
Chr1,+,292042,intron,291949,292072,LOC_Os01g01570
Chr1,+,292374,3UTR,292073,292596,LOC_Os01g01570
Chr1,+,292856,CDS,292847,293329,LOC_Os01g01580
Chr1,+,293531,3UTR,293330,293835,LOC_Os01g01580
Chr1,-,306870,3UTR,306569,307123,LOC_Os01g01610
Chr1,-,306977,3UTR,306569,307123,LOC_Os01g01610
Chr1,-,309458,3UTR,309159,309821,LOC_Os01g01620
Chr1,-,309549,3UTR,309159,309821,LOC_Os01g01620
Chr1,+,322164,3UTR,321976,322548,LOC_Os01g01640
Chr1,-,322569,3UTR,322256,322809,LOC_Os01g01650
Chr1,-,327143,3UTR,326828,327336,LOC_Os01g01660
Chr1,-,331454,intron,330592,331576,LOC_Os01g01670
Chr1,-,332666,3UTR,332367,332757,LOC_Os01g01680
Chr1,+,356171,intron,355906,356230,LOC_Os01g01689
Chr1,+,371188,3UTR,370911,371558,LOC_Os01g01689
Chr1,+,374424,3UTR,374153,374770,LOC_Os01g01700
Chr1,+,374561,3UTR,374153,374770,LOC_Os01g01700
Chr1,-,374733,3UTR,374428,374979,LOC_Os01g01710
Chr1,-,374815,3UTR,374428,374979,LOC_Os01g01710
Chr1,-,383261,3UTR,382747,383450,LOC_Os01g01720
Chr1,-,392082,3UTR,391781,392397,LOC_Os01g01740
Chr1,-,403606,3UTR,403044,403691,LOC_Os01g01760
Chr1,+,415356,CDS,414815,415495,LOC_Os01g01780
Chr1,+,415839,3UTR,415496,416130,LOC_Os01g01780
Chr1,-,416271,3UTR,415941,416665,LOC_Os01g01790
Chr1,+,431141,3UTR,430974,431992,LOC_Os01g01800
Chr1,+,431488,3UTR,430974,431992,LOC_Os01g01800
Chr1,+,431705,3UTR,430974,431992,LOC_Os01g01800
Chr1,+,444368,intron,443218,445165,LOC_Os01g01830
Chr1,+,449242,3UTR,448917,449437,LOC_Os01g01830
Chr1,+,449382,3UTR,448917,449437,LOC_Os01g01830
Chr1,+,457516,intron,457338,459178,LOC_Os01g01840
Chr1,+,457697,intron,457338,459178,LOC_Os01g01840
Chr1,+,481079,3UTR,480723,481466,LOC_Os01g01870
Chr1,+,486162,3UTR,486077,486792,LOC_Os01g01890
Chr1,+,486360,3UTR,486077,486792,LOC_Os01g01890
Chr1,+,486417,3UTR,486077,486792,LOC_Os01g01890
Chr1,+,505989,3UTR,505745,506564,LOC_Os01g01920
Chr1,+,506254,3UTR,505745,506564,LOC_Os01g01920
Chr1,+,512161,3UTR,511762,512459,LOC_Os01g01940
Chr1,-,514055,3UTR,513590,514458,LOC_Os01g01960
Chr1,-,514294,3UTR,513590,514458,LOC_Os01g01960
Chr1,-,517606,CDS,517112,517777,LOC_Os01g01960
Chr1,-,517701,CDS,517112,517777,LOC_Os01g01960
Chr1,-,518100,CDS,517874,518128,LOC_Os01g01960
Chr1,-,524831,3UTR,524279,525100,LOC_Os01g01970
Chr1,-,525662,intron,525470,526640,LOC_Os01g01970
Chr1,+,534294,3UTR,534140,534787,LOC_Os01g01990
Chr1,+,543355,3UTR,543066,543655,LOC_Os01g02000
Chr1,-,543332,3UTR,542687,543540,LOC_Os01g02010
Chr1,-,543397,3UTR,542687,543540,LOC_Os01g02010
Chr1,+,552433,3UTR,552367,553587,LOC_Os01g02020
Chr1,+,552580,3UTR,552367,553587,LOC_Os01g02020
Chr1,-,554150,3UTR,553722,554299,LOC_Os01g02040
Chr1,-,562114,3UTR,561756,562303,LOC_Os01g02050
Chr1,-,576492,3UTR,576143,576805,LOC_Os01g02060
Chr1,-,576628,3UTR,576143,576805,LOC_Os01g02060
Chr1,-,586443,3UTR,586114,586669,LOC_Os01g02080
Chr1,+,593687,3UTR,593281,594059,LOC_Os01g02090
Chr1,+,601369,3UTR,601206,601772,LOC_Os01g02100
Chr1,+,601456,3UTR,601206,601772,LOC_Os01g02100
Chr1,-,603638,3UTR,603343,604018,LOC_Os01g02110
Chr1,-,603872,3UTR,603343,604018,LOC_Os01g02110
Chr1,+,615628,3UTR,615274,615950,LOC_Os01g02120
Chr1,-,620571,3UTR,620272,620934,LOC_Os01g02130
Chr1,-,620678,3UTR,620272,620934,LOC_Os01g02130
Chr1,-,620890,3UTR,620272,620934,LOC_Os01g02130
Chr1,+,624644,3UTR,624471,624913,LOC_Os01g02139
Chr1,+,627010,3UTR,626720,627324,LOC_Os01g02150
Chr1,+,632792,3UTR,632676,633213,LOC_Os01g02160
Chr1,-,634044,3UTR,633711,634414,LOC_Os01g02170
Chr1,-,637526,3UTR,636033,637834,LOC_Os01g02170
Chr1,-,637684,3UTR,636033,637834,LOC_Os01g02170
Chr1,-,640624,3UTR,640288,640958,LOC_Os01g02180
Chr1,-,648199,3UTR,647828,648527,LOC_Os01g02200
Chr1,-,648342,3UTR,647828,648527,LOC_Os01g02200
Chr1,-,650427,intron,649330,651476,LOC_Os01g02200
Chr1,-,720708,3UTR,720329,720841,LOC_Os01g02290
Chr1,+,726096,3UTR,725886,726621,LOC_Os01g02300
Chr1,+,726317,3UTR,725886,726621,LOC_Os01g02300
Chr1,+,730848,intron,730846,730876,LOC_Os01g02310
Chr1,-,731237,3UTR,730849,731483,LOC_Os01g02320
Chr1,-,738280,3UTR,737981,738475,LOC_Os01g02334
Chr1,-,741464,intron,740602,741506,LOC_Os01g02334
Chr1,-,742241,3UTR,741972,742880,LOC_Os01g02350
